"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.297829277E1,-7.700018585E-2,-2.076493204E-1,-9.804149628E0
1.298329277E1,-7.707086205E-2,-2.073164433E-1,-9.804155350E0
1.298829277E1,-7.691666484E-2,-2.071097642E-1,-9.804161072E0
1.299329277E1,-7.684835792E-2,-2.072570324E-1,-9.804158211E0
1.299829277E1,-7.718932629E-2,-2.072649598E-1,-9.804156303E0
1.300329277E1,-7.753280550E-2,-2.074937075E-1,-9.804148674E0
1.300829277E1,-7.781284302E-2,-2.076717019E-1,-9.804141998E0
1.301329277E1,-7.780089229E-2,-2.073874623E-1,-9.804148674E0
1.301829277E1,-7.749634981E-2,-2.070400864E-1,-9.804159164E0
1.302329277E1,-7.706440985E-2,-2.065250427E-1,-9.804172516E0
1.302829277E1,-7.697393000E-2,-2.065147609E-1,-9.804172516E0
1.303329277E1,-7.734936476E-2,-2.066733092E-1,-9.804166794E0
1.303829277E1,-7.778029144E-2,-2.067528963E-1,-9.804162025E0
1.304329277E1,-7.832087576E-2,-2.068917900E-1,-9.804155350E0
1.304829277E1,-7.915206254E-2,-2.067551762E-1,-9.804151535E0
1.305329277E1,-7.982646674E-2,-2.063921690E-1,-9.804152489E0
1.305829277E1,-8.010725677E-2,-2.059270144E-1,-9.804160118E0
1.306329277E1,-8.030957729E-2,-2.054977119E-1,-9.804167747E0
1.306829277E1,-8.009155840E-2,-2.052068859E-1,-9.804175377E0
1.307329277E1,-7.946277410E-2,-2.051792443E-1,-9.804181099E0
1.307829277E1,-7.881308347E-2,-2.056331336E-1,-9.804177284E0
1.308329277E1,-7.868632674E-2,-2.058663368E-1,-9.804173470E0
1.308829277E1,-7.890480012E-2,-2.061082572E-1,-9.804166794E0
1.309329277E1,-7.930333167E-2,-2.064145356E-1,-9.804157257E0
1.309829277E1,-8.022570610E-2,-2.064242512E-1,-9.804148674E0
1.310329277E1,-8.129068464E-2,-2.064414471E-1,-9.804140091E0
